"","sim","N_actual","N_mean","n_captured","tau","pa_detects_total","N_lower_95","N_upper_95","N_sd","N_naive_se","seed"
"11405",229,50,50.1068222222222,50,0.5,69,50,51,0.347103124553204,0.00163625982095073,5936121
"11406",229,50,48.4583333333333,48,0.5,62,48,50,0.728901857407089,0.00343607630794682,2991050
"11407",229,50,48.6306,48,0.5,71,48,51,0.886456737122534,0.00417879713365229,7726424
"11408",229,50,50.1084888888889,50,0.5,63,50,51,0.361554912577429,0.00170438620303206,2791759
"11409",229,50,50.1318444444444,50,0.5,76,50,51,0.390638210264019,0.00184148618312176,2323026
"11410",229,50,50.1264666666667,50,0.5,69,50,51,0.377283287101607,0.00177853047158598,5238751
"11411",229,50,51.0290666666667,50,0.5,63,50,54,1.12996811781913,0.00532672079089673,6900090
"11412",229,50,48.2058888888889,48,0.5,62,48,50,0.487434942377328,0.00229779035428188,3009480
"11413",229,50,50.298,50,0.5,71,50,52,0.57155045796356,0.00269431469744207,6084578
"11414",229,50,49.3408444444444,49,0.5,59,49,51,0.631304231221955,0.00297599668592536,6057736
"11415",229,50,50.0516,50,0.5,71,50,51,0.234295145974067,0.0011044779101157,8799101
"11416",229,50,47.3580444444444,47,0.5,71,47,49,0.653428817517948,0.00308029298593099,6650367
"11417",229,50,50.1130666666667,50,0.5,65,50,51,0.350074257265055,0.0016502658748731,7032736
"11418",229,50,50.2498444444444,50,0.5,74,50,52,0.542387583752556,0.00255683959001879,4965863
"11419",229,50,50.2530444444444,50,0.5,58,50,52,0.545198845537465,0.00257009200516412,2039714
"11420",229,50,50.0557333333333,50,0.5,62,50,51,0.244870975631145,0.00115433284923033,9968447
"11421",229,50,50.1138888888889,50,0.5,64,50,51,0.360106438619706,0.00169755803131288,2761899
"11422",229,50,50.0955555555556,50,0.5,69,50,51,0.328404187293015,0.00154811218536632,564863
"11423",229,50,49.3933333333333,49,0.5,69,49,51,0.682974970337048,0.00321957488604005,940547
"11424",229,50,50.3311777777778,50,0.5,75,50,52,0.647797588748793,0.00305374711893711,1580797
