"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion","credible_width","psi0_mean","psi0_sd","p","sigma","delta"
"944",984,500,455.92,320,0.45,64,5,456.098476444444,18.8789723466664,-0.0878030471111111,0.422291504264481,-0.977631647713121,5,7,0.00199070124201922,0,1.1,0.98934010865513,0.0111426651382515,0.25,2,4
"945",985,500,456.8,319.98,0.45,64,5,456.986602222222,20.8285772829424,-0.0860267955555556,0.431729247908188,-0.979272264156911,5,7,0.00203519119221632,0,1.14,0.989430372472189,0.011063937357256,0.25,3,1
"946",986,500,453.2,320,0.45,64,5,453.388732,18.8712890125786,-0.0932225360000001,0.434447613510758,-0.976978381645198,5,7,0.00204800569055846,0,1.14,0.989363128609404,0.0111212797975531,0.25,3,2
"947",987,500,456.68,320,0.45,64,5,456.864655111111,20.75148034333,-0.0862706897777778,0.430373514239004,-0.979260587335528,5,7,0.0020288002024099,0,1.16,0.989385781083656,0.0110734584446089,0.25,3,3
"948",988,500,456.14,320,0.45,64,5,456.319066222222,22.1038870365216,-0.0873618675555556,0.422488985987788,-0.980886213122166,5,7,0.00199163217979062,0,1.1,0.98937079645555,0.0110855078290456,0.25,3,4
"949",989,500,458.04,320,0.45,64,5,458.217105333333,19.5594699529386,-0.0835657893333333,0.421138922043905,-0.978468796799852,5,7,0.00198526791732559,0,1.08,0.989340493366807,0.0111383584676289,0.25,4,1
"950",990,500,457.06,320,0.45,64,5,457.238444,14.5670872370568,-0.085523112,0.422418019393496,-0.971001888536857,5,7,0.00199129764005688,0,1.1,0.989341740001441,0.0111078394180677,0.25,4,2
"951",991,500,455.44,320,0.45,64,5,455.623926666667,19.4755711818153,-0.0887521466666666,0.429333420451654,-0.977955284779913,5,7,0.00202389715327586,0,1.08,0.989351193069336,0.0111250700446936,0.25,4,3
"952",992,500,455.24,320,0.45,64,5,455.422878222222,17.3184459005561,-0.0891542435555555,0.425809032371329,-0.975412976729185,5,7,0.00200728302853499,0,1.14,0.989398600769206,0.0110696518938511,0.25,4,4
"953",993,500,489.2,305.48,0.45,64,5,489.256517333333,8.8169709299362,-0.0214869653333335,0.228442603025971,-0.974090579991555,5,7,0.00107688875807714,0.02,0.84,0.989123133893581,0.0112453362826943,0.5,1,1
"954",994,500,486.6,319.28,0.45,64,5,486.66352,13.3560306741497,-0.0266729600000001,0.235677074159653,-0.982354257794885,5,7,0.00111099238205664,0.02,0.76,0.989258845459828,0.0111790089207679,0.5,1,2
"955",995,500,489.26,319.94,0.45,64,5,489.312167111111,11.063779870322,-0.0213756657777777,0.217571979527293,-0.980334751587844,5,7,0.0010256441474662,0.02,0.8,0.989083454355309,0.0113084344893976,0.5,1,3
"956",996,500,488.36,319.98,0.45,64,5,488.415779111111,12.0037645201338,-0.0231684417777777,0.222696286082559,-0.981447796171857,5,7,0.00104980036022691,0.06,0.78,0.989102918741963,0.0112508805131969,0.5,1,4
"957",997,500,486.04,319.3,0.45,64,5,486.111094666667,14.769472402503,-0.0277778106666668,0.24845852523016,-0.983177562579144,5,7,0.0011712447202257,0.08,0.88,0.989156486897001,0.0112505308259494,0.5,2,1
"958",998,500,487.78,320,0.45,64,5,487.839488888889,14.8056921870066,-0.0243210222222222,0.229056978234556,-0.98452912735579,5,7,0.00107978495058503,0.02,0.84,0.98914613459503,0.0112337539386562,0.5,2,2
"959",999,500,490.108108108108,320,0.45,64,5,490.155282882883,8.44451600910649,-0.0196894342342343,0.209507451560003,-0.975190117309971,5,7,0.000987627598047934,0,0.72972972972973,0.989017235723767,0.0113270141161445,0.5,2,3
"960",1000,500,490.06,320,0.45,64,5,490.112593777778,11.3305432348397,-0.0197748124444444,0.216769690565323,-0.980868552718744,5,7,0.00102186212102966,0.08,0.7,0.989110433631007,0.0112599009822677,0.5,2,4
"961",1001,500,490.08,319.9,0.45,64,5,490.135962222222,9.74464328757706,-0.0197280755555555,0.221275980017411,-0.97729255207325,5,7,0.00104310497322673,0.04,0.76,0.989110715917718,0.0112758774378493,0.5,3,1
"962",1002,500,491.18,320,0.45,64,5,491.229575111111,7.70132181452492,-0.0175408497777777,0.210886806293405,-0.972616803793906,5,7,0.000994129938618938,0.06,0.7,0.989100421919453,0.0112987439211154,0.5,3,2
"963",1003,500,487.74,320,0.45,64,5,487.795278666667,16.4692508430169,-0.0244094426666667,0.219891798363192,-0.986648342389148,5,7,0.00103657987833279,0.06,0.76,0.989087281058467,0.0112653788943939,0.5,3,3
"964",1004,500,486.06,320,0.45,64,5,486.129030666667,14.6753710260645,-0.0277419386666666,0.243067280430801,-0.983437060637234,5,7,0.00114583014851461,0,0.88,0.989127483217947,0.011234747643799,0.5,3,4
