"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion"
"607",606,100,51.82,538.78,0.15,49,4,52.3184857777778,10.0951760810065,-0.476815142222222,0.73348859326637,-0.927342664716232,14,10,0.00345769838814421,0
"608",607,100,58.38,537.9,0.15,49,5,58.8434026666667,7.89238045242868,-0.411565973333333,0.69956411668534,-0.911362088928434,14,10,0.00329777687188654,0
"609",608,100,64.34,539.52,0.15,49,6,64.7536271111111,7.29727326790017,-0.352463728888889,0.659359147111049,-0.909643078598757,14,10,0.00310824882773068,0
"610",609,100,42.04,307.34,0.15,49,3,42.5337226666667,8.41730752625561,-0.574662773333333,0.732418943539801,-0.912986552854911,8,12,0.00345265601097653,0
"611",610,100,52.52,305.42,0.15,49,4,52.9915866666667,8.48596486543011,-0.470084133333333,0.709332192017732,-0.916411132585831,8,12,0.00334382402059771,0
"612",611,100,60.1,307.92,0.15,49,5,60.5203115555556,8.29728102891264,-0.394796884444444,0.662533009048922,-0.920150588278224,8,12,0.00312321055638948,0
"613",612,100,67.26,307.74,0.15,49,6,67.6550551111111,8.73687780073513,-0.323449448888889,0.643222177418857,-0.926378485302297,8,12,0.003032178423083,0
"614",613,100,44.22,384.78,0.15,49,3,44.7534213333333,8.05806525538635,-0.552465786666667,0.758197739480895,-0.905908215501968,10,12,0.00357417842044835,0
"615",614,100,50.82,380.76,0.15,49,4,51.2972053333333,8.79387429820779,-0.487027946666667,0.715427196206149,-0.918644823436701,10,12,0.00337255614588431,0
"616",615,100,61.24,384.7,0.15,49,5,61.6352102222222,8.74899496901357,-0.383647897777778,0.643525938916691,-0.926445729915736,10,12,0.00303361036851621,0
"617",616,100,65.18,381.76,0.15,49,6,65.5403231111111,7.21931387871587,-0.344596768888889,0.61427536880274,-0.914912223083449,10,12,0.0028957218586419,0
"618",617,100,43.28,461.2,0.15,49,3,43.8101204444444,9.03000123433131,-0.561898795555556,0.757566529953561,-0.916105600620147,12,12,0.00357120287020083,0
"619",618,100,51.64,459.74,0.15,49,4,52.0997524444444,8.61194672433164,-0.479002475555556,0.699171061011232,-0.918813819524006,12,12,0.00329592398966957,0
"620",619,100,60.2,460.18,0.15,49,5,60.6425333333333,10.2325490351434,-0.393574666666667,0.684545719901237,-0.933101154213854,12,12,0.00322697947049594,0
"621",620,100,66.74,462.54,0.15,49,6,67.1012675555556,9.97749610926458,-0.328987324444444,0.613637919090356,-0.938497804221586,12,12,0.00289271689187995,0
"622",621,100,42.14,536.6,0.15,49,3,42.6579648888889,8.06102210384212,-0.573420351111111,0.749706823078629,-0.90699605913234,14,12,0.00353415185667148,0
"623",622,100,52.86,539.94,0.15,49,4,53.3104648888889,8.6450586420732,-0.466895351111111,0.691925670630316,-0.919962871360652,14,12,0.00326176889186498,0
"624",623,100,59.1,538.44,0.15,49,5,59.5230768888889,8.61281140538359,-0.404769231111111,0.668473938242143,-0.922386093601875,14,12,0.00315121636518331,0
"625",624,100,65.66,540.54,0.15,49,6,66.0443493333333,7.58675363431462,-0.339556506666667,0.635383081421054,-0.916250993238104,14,12,0.00299522457016021,0
"626",625,100,43.42,306.22,0.15,49,3,43.8822866666667,9.43245123402248,-0.561177133333333,0.700921117560199,-0.925690459439429,8,14,0.0033041738353578,0
"627",626,100,52.7,307.3,0.15,49,4,53.1655635555556,11.0286843547899,-0.468344364444444,0.707145533309112,-0.935881242897119,8,14,0.003333516012591,0
"628",627,100,60.02,307.04,0.15,49,5,60.4270106666667,9.0226135138167,-0.395729893333333,0.654043937490324,-0.927510589200262,8,14,0.00308319268928906,0
"629",628,100,66.64,307.08,0.15,49,6,66.9982311111111,9.0390859633605,-0.330017688888889,0.612304831215657,-0.932260315512254,8,14,0.0028864326553725,0
"630",629,100,44.44,384.48,0.15,49,3,44.9306195555556,9.46876234583366,-0.550693804444444,0.726429599606911,-0.923281462447249,10,14,0.00342442197291117,0
"631",630,100,55.82,384.3,0.15,49,4,56.2511724444444,7.03423650072338,-0.437488275555556,0.674609682391034,-0.904096246647144,10,14,0.00318014054048536,0
"632",631,100,62.16,383.46,0.15,49,5,62.5488404444444,9.86217167259559,-0.374511595555556,0.639825447757802,-0.935123270107363,10,14,0.00301616608590174,0
"633",632,100,67.84,385.58,0.15,49,6,68.1958951111111,8.80367313303195,-0.318041048888889,0.610011741666513,-0.930709405898123,10,14,0.00287562292757205,0
"634",633,100,43.16,464.64,0.15,49,3,43.6524715555556,7.56110652475853,-0.563475284444445,0.73060527633188,-0.903373233277491,12,14,0.00344410630176629,0
"635",634,100,53.76,463.54,0.15,49,4,54.1980755555555,9.20642335771452,-0.458019244444445,0.680674433713536,-0.926065269077251,12,14,0.00320873005239436,0
"636",635,100,61.32,461.3,0.15,49,5,61.7337626666667,7.49709746964828,-0.382662373333333,0.661453034997692,-0.911772117452713,12,14,0.00311811950988861,0
"637",636,100,67.58,461.12,0.15,49,6,67.9676591111111,10.6553928193301,-0.320323408888889,0.637028919251751,-0.940215351038386,12,14,0.003002983124099,0
"638",637,100,41.9,536.86,0.15,49,3,42.4015204444444,7.81727144819059,-0.575984795555555,0.738391853754001,-0.905543531570096,14,14,0.00348081257974906,0
"639",638,100,52.66,539.82,0.15,49,4,53.1088275555556,8.34340012720061,-0.468911724444444,0.692474047631437,-0.917003375473522,14,14,0.00326435396583923,0
"640",639,100,62.72,537.66,0.15,49,5,63.123248,8.63234243179921,-0.36876752,0.649522282906239,-0.924757122642219,14,14,0.00306187740516513,0
"641",640,100,67.34,541.02,0.15,49,6,67.7142724444444,10.0734490281216,-0.322857275555556,0.625844469160048,-0.937871878101243,14,14,0.0029502591207411,0
"642",641,100,39.36,353.42,0.15,64,3,39.9245368888889,7.3444092353026,-0.600754631111111,0.786956284131706,-0.892849614050778,8,8,0.00370974750004598,0
"643",642,100,44.9,353.64,0.15,64,4,45.4282266666667,8.85769875847464,-0.545717733333333,0.75592428239356,-0.914659066309935,8,8,0.00356346124096041,0
"644",643,100,55.76,355.16,0.15,64,5,56.2518435555556,8.29187249965992,-0.437481564444444,0.723369906888143,-0.91276157382813,8,8,0.00340999844311258,0
"645",644,100,61.64,355.64,0.15,64,6,62.0633231111111,7.89250477338647,-0.379366768888889,0.670037121705252,-0.915104628892387,8,8,0.00315858528269667,0
"646",645,100,37.86,441.8,0.15,64,3,38.4018288888889,7.20025728635409,-0.615981711111111,0.772722159133048,-0.892681312847319,10,8,0.00364264719130726,0
"647",646,100,47,444.8,0.15,64,4,47.5373706666667,8.12993905231986,-0.524626293333333,0.762172987279775,-0.906251082280587,10,8,0.00359291791828491,0
"648",647,100,55.92,444.46,0.15,64,5,56.4102555555556,7.22504776947229,-0.435897444444445,0.724379717469372,-0.899740494377066,10,8,0.00341475873584392,0
"649",648,100,61.64,441.28,0.15,64,6,62.0544106666667,9.97692096793333,-0.379455893333333,0.660920152366845,-0.933755097941429,10,8,0.00311560747707628,0
"650",649,100,38.26,531.58,0.15,64,3,38.8467831111111,8.51409161309896,-0.611532168888889,0.803624469295324,-0.905612423989079,12,8,0.0037883220784411,0
