"","sim","N_actual","N_mean","N_bias","n_captured","tau","nsites","ntraps","pa_detects_total","N_lower_95","N_upper_95","cred_contains_actual_N","N_sd","N_naive_se","seed"
"118",6,25,25.1983333333333,0.00793333333333194,25,0.55,16,3,37,25,27,1,0.485686476176948,0.00228954800556879,6841547
"119",6,25,25.2886,0.011544,25,0.55,16,3,40,25,27,1,0.58684270435308,0.00276640303825277,2078433
"120",6,25,24.1647111111111,-0.033411555555556,24,0.55,16,3,32,24,25,1,0.436942715883938,0.00205976771594399,5287998
"121",7,50,14.4974666666667,-0.710050666666666,14,0.15,16,3,73,14,17,0,0.807305022093724,0.00380567237072285,8973346
"122",7,50,23.5896222222222,-0.528207555555556,23,0.15,16,3,73,23,26,0,0.840386945638683,0.00396162205387842,7663527
"123",7,50,22.4732222222222,-0.550535555555556,22,0.15,16,3,74,22,24,0,0.74515155846345,0.00351267813334153,9306518
"124",7,50,16.6826,-0.666348,16,0.15,16,3,72,16,19,0,0.932385770700631,0.00439530867429508,5796676
"125",7,50,23.3936888888889,-0.532126222222222,23,0.15,16,3,71,23,25,0,0.68863604101056,0.00324626142912016,6093021
"126",7,50,22.3348444444444,-0.553303111111112,22,0.15,16,3,73,22,24,0,0.621198658489008,0.00292835855921042,5766217
"127",7,50,12.4194,-0.751612,12,0.15,16,3,76,12,14,0,0.736933690236688,0.00347393873100792,9474742
"128",7,50,19.3959777777778,-0.612080444444444,19,0.15,16,3,69,19,21,0,0.680319121391403,0.0032070550940449,3788068
"129",7,50,20.5038888888889,-0.589922222222222,20,0.15,16,3,71,20,23,0,0.785025628876499,0.00370064630389204,503525
"130",7,50,21.3862444444444,-0.572275111111112,21,0.15,16,3,75,21,23,0,0.665634674254257,0.00313783194638722,5759370
"131",7,50,14.3284444444444,-0.713431111111112,14,0.15,16,3,74,14,16,0,0.642910127545803,0.0030307074058743,2102008
"132",7,50,20.4307777777778,-0.591384444444444,20,0.15,16,3,74,20,22,0,0.717106640445734,0.00338047312195388,8189134
"133",7,50,19.4300222222222,-0.611399555555556,19,0.15,16,3,70,19,21,0,0.718519407422368,0.00338713296934998,5746844
"134",7,50,18.9816222222222,-0.620367555555556,18,0.15,16,3,72,18,22,0,1.10011122490698,0.00518597404794109,6589609
"135",7,50,10.6434,-0.787132,10,0.15,16,3,75,10,13,0,0.926996333712068,0.00436990262468581,7668722
