"","sim","N_actual","N_mean","n_captured","tau","pa_detects_total","N_lower_95","N_upper_95","cred_contains_actual_N","N_sd","N_naive_se","seed"
"278",6,25,11.7502222222222,11,0.15,62,11,15,0,1.07659604347136,0.00507512241958138,6787968
"279",6,25,16.9013777777778,16,0.15,73,16,20,0,1.15279027198445,0.00543430545737392,5028979
"280",6,25,10.6158222222222,10,0.15,66,10,13,0,0.962141827090571,0.00453558006932638,6098866
"281",6,25,19.6417777777778,19,0.15,70,19,22,0,0.934170225408479,0.00440372067445934,5224033
"282",6,25,15.8408,15,0.15,79,15,19,0,1.1060310876158,0.00521388054837511,6320674
"283",6,25,15.0808888888889,14,0.15,68,14,18,0,1.26811472105809,0.0059779501238844,8694341
"284",6,25,17.0434666666667,16,0.15,75,16,20,0,1.23504839801295,0.00582207398219024,4932527
"285",6,25,13.7943333333333,13,0.15,71,13,17,0,1.08851315370898,0.00513130021598915,6295728
"286",6,25,19.0672222222222,18,0.15,73,18,22,0,1.22166685082011,0.00575899276377141,2309292
"287",6,25,19.0779555555556,18,0.15,72,18,22,0,1.21746562017302,0.00573918797257219,9115673
"288",6,25,14.1419333333333,14,0.15,63,14,15,0,0.416670544364424,0.0019642037829385,4275518
"289",6,25,24.0168444444444,23,0.15,69,23,27,1,1.166881823249,0.00550073366708458,7513169
"290",6,25,19.2689333333333,18,0.15,68,18,23,0,1.32229696840404,0.00623336768733938,9016688
"291",6,25,19.6792666666667,19,0.15,72,19,22,0,0.94796571010404,0.00446875321297925,6460086
"292",6,25,15.3199333333333,15,0.15,71,15,17,0,0.686138803360393,0.00323448933794238,7758282
"293",6,25,19.3140222222222,19,0.15,65,19,21,0,0.652924673014624,0.003077916425951,354943
"294",6,25,19.0845777777778,18,0.15,74,18,22,0,1.25034804352857,0.0058941972028159,1930455
"295",6,25,18.2598888888889,17,0.15,72,17,22,0,1.34641426905217,0.00634705773288747,9049169
"296",6,25,18.6399333333333,18,0.15,70,18,21,0,0.940563949749104,0.00443386098004796,2241392
"297",6,25,17.9900666666667,17,0.15,76,17,21,0,1.17847310438227,0.00555537549036445,6724340
"298",6,25,22.3481555555556,21,0.15,61,21,26,1,1.37942298499435,0.00650266231209397,1896265
"299",6,25,21.5374222222222,20,0.15,66,20,25,1,1.45534340355502,0.00686055459739244,2619120
"300",6,25,13.7580222222222,13,0.15,75,13,17,0,1.09900269724375,0.00518074839842239,7831575
"301",7,25,22.3303333333333,22,0.35,58,22,24,0,0.66558308607056,0.00313758875735708,6553304
"302",7,25,23.2652444444444,22,0.35,67,22,26,1,1.31363590381302,0.00619253903730869,9109149
"303",7,25,23.8604888888889,23,0.35,60,23,27,1,1.091271838205,0.00514430477941776,3184689
"304",7,25,21.9398,21,0.35,63,21,25,1,1.16629783170349,0.00549798070453805,9725193
"305",7,25,20.7389333333333,20,0.35,58,20,23,0,1.02850535161205,0.0048484207240769,8154491
"306",7,25,22.0580444444444,22,0.35,62,22,23,0,0.265934771969621,0.00125362853742012,1918126
"307",7,25,19.8812222222222,19,0.35,63,19,23,0,1.10458994801722,0.00520708695115649,713682
"308",7,25,23.4472888888889,23,0.35,68,23,26,1,0.784624253734288,0.00369875420332633,1477289
"309",7,25,21.4338222222222,21,0.35,62,21,24,0,0.795620730277439,0.00375059209087847,5214250
"310",7,25,15.5842666666667,15,0.35,67,15,18,0,0.942801377390655,0.00444440831509966,9908605
"311",7,25,22.9054222222222,22,0.35,69,22,26,1,1.12990416172929,0.00532641929899788,3526790
"312",7,25,19.0095555555556,18,0.35,61,18,22,0,1.22980941199395,0.00579737716525309,584223
"313",7,25,13.8925555555556,13,0.35,62,13,17,0,1.17555554755052,0.00554162199556293,1516205
"314",7,25,24.5702222222222,24,0.35,64,24,27,1,0.890603926846301,0.00419834717349591,5757494
"315",7,25,23.5990222222222,23,0.35,66,23,26,1,0.922094321949482,0.00434679431962727,4626424
"316",7,25,22.0422666666667,21,0.35,68,21,25,1,1.20141631419994,0.00566353081865952,4954120
"317",7,25,22.5385555555556,22,0.35,60,22,25,1,0.858472067563476,0.00404687613622246,5074802
